overall_qual,log_gr_liv_area,garage_area,total_bsmt_sf,neighborhood,exterior_1st,exterior_2nd,exter_qual,foundation,bsmt_qual,bsmt_exposure,bsmtfin_type_1,heating_qc,kitchen_qual,fireplace_qu,garage_finish,saleprice
5,7.203405521083095,513.0,624.0,OldTown,AsbShng,AsbShng,TA,BrkTil,TA,No,Unf,Fa,TA,No Fireplace,Unf,98000
5,7.02197642307216,480.0,1121.0,Sawyer,VinylSd,VinylSd,TA,PConc,TA,No,Rec,TA,TA,No Fireplace,Unf,139000
6,7.158513997329321,528.0,660.0,Sawyer,Plywood,Plywood,TA,CBlock,TA,No,Unf,Ex,TA,TA,RFn,143500
7,7.344072850573066,614.0,756.0,Somerst,VinylSd,VinylSd,TA,PConc,Gd,Mn,GLQ,Ex,Gd,No Fireplace,Unf,215200
5,6.795705775173514,450.0,894.0,Sawyer,VinylSd,VinylSd,TA,CBlock,Gd,No,BLQ,Gd,TA,Po,Fin,129000
8,7.413970290190444,499.0,1501.0,StoneBr,CemntBd,CmentBd,Gd,PConc,Gd,No,GLQ,Ex,Ex,Ex,Fin,278000
8,7.720017940432244,575.0,1209.0,NridgHt,CemntBd,CmentBd,Gd,PConc,Ex,Av,Unf,Ex,Ex,Gd,Fin,344133
6,7.079184394609668,420.0,1168.0,Gilbert,HdBoard,HdBoard,TA,PConc,Gd,No,ALQ,Ex,TA,No Fireplace,Fin,185000
5,6.962243464266207,572.0,1056.0,Gilbert,Wd Sdng,Wd Sdng,TA,CBlock,TA,Mn,Rec,TA,TA,No Fireplace,Fin,145000
6,7.281385663570282,530.0,1453.0,NAmes,MetalSd,MetalSd,TA,CBlock,TA,No,Rec,Ex,TA,TA,RFn,187500
5,6.795705775173514,336.0,894.0,Sawyer,MetalSd,MetalSd,TA,CBlock,TA,No,GLQ,Ex,TA,Gd,Unf,138500
5,7.569411792450712,240.0,942.0,Crawfor,WdShing,Wd Shng,TA,CBlock,TA,No,BLQ,Ex,Gd,Gd,Unf,198000
5,7.596392304064196,0.0,957.0,IDOTRR,VinylSd,VinylSd,TA,CBlock,TA,No,Unf,Fa,TA,No Fireplace,No Garage,119600
5,6.828712071641684,576.0,672.0,NAmes,MetalSd,MetalSd,TA,CBlock,TA,Mn,Unf,Ex,TA,Po,Unf,122900
8,7.833600223661103,542.0,2524.0,NWAmes,BrkFace,BrkFace,Gd,PConc,Gd,No,ALQ,TA,Gd,Gd,Fin,278000
8,7.324489979348532,400.0,792.0,Crawfor,BrkFace,Stucco,TA,PConc,Gd,No,Unf,Fa,Gd,Gd,Unf,230000
8,7.309212365692763,481.0,1494.0,Veenker,BrkFace,BrkFace,Gd,PConc,Gd,Av,LwQ,Ex,Ex,Gd,Fin,270000
6,6.854354502255021,410.0,948.0,NAmes,Wd Sdng,Wd Sdng,TA,CBlock,TA,No,ALQ,TA,TA,No Fireplace,Unf,125000
8,7.4489161025442,826.0,1705.0,CollgCr,VinylSd,VinylSd,Gd,PConc,Ex,Gd,GLQ,Ex,Gd,Gd,RFn,297000
6,7.040536390215956,384.0,160.0,NAmes,Wd Sdng,Wd Sdng,TA,CBlock,Gd,Gd,Unf,Fa,TA,Gd,RFn,113500
5,7.29641326877392,336.0,757.0,MeadowV,CemntBd,CmentBd,TA,PConc,TA,No,ALQ,Ex,TA,TA,RFn,127000
6,7.519692404116539,546.0,1844.0,NWAmes,Plywood,Plywood,TA,CBlock,Gd,No,BLQ,Ex,TA,TA,RFn,190000
7,7.124478262493424,528.0,1242.0,NWAmes,HdBoard,HdBoard,TA,CBlock,TA,No,ALQ,Fa,TA,TA,Unf,175500
5,6.897704943128636,384.0,990.0,CollgCr,VinylSd,VinylSd,TA,PConc,Gd,No,GLQ,Ex,TA,No Fireplace,Unf,146000
5,7.135687347028144,276.0,1256.0,Edwards,HdBoard,HdBoard,Gd,CBlock,TA,No,BLQ,Gd,TA,No Fireplace,Fin,147500
10,7.638198244285779,850.0,2076.0,NridgHt,VinylSd,VinylSd,Ex,PConc,Ex,Gd,GLQ,Ex,Ex,Gd,Fin,465000
5,7.01211529430638,602.0,1097.0,Mitchel,Plywood,Plywood,TA,PConc,Gd,Av,GLQ,Ex,Gd,TA,Fin,165500
5,7.492760300922379,352.0,1050.0,OldTown,MetalSd,MetalSd,TA,BrkTil,TA,No,Unf,Ex,TA,No Fireplace,Unf,131500
5,6.946975992135418,384.0,1040.0,Sawyer,HdBoard,HdBoard,TA,CBlock,TA,No,Rec,Ex,TA,No Fireplace,Unf,129500
8,7.535296702444088,786.0,608.0,Crawfor,BrkFace,Stucco,TA,PConc,TA,No,LwQ,TA,TA,Gd,Fin,257076
5,7.38025578842646,660.0,984.0,Edwards,Wd Sdng,Wd Sdng,TA,CBlock,TA,No,LwQ,Ex,TA,No Fireplace,Unf,117000
7,7.31455283232408,270.0,776.0,Crawfor,Stucco,Wd Shng,TA,BrkTil,Gd,No,Unf,TA,TA,Gd,RFn,149000
5,6.968850378341948,280.0,1056.0,NAmes,HdBoard,HdBoard,TA,CBlock,TA,No,Rec,TA,TA,No Fireplace,RFn,128000
7,7.3938782901077555,474.0,764.0,NridgHt,VinylSd,Wd Shng,Gd,PConc,Gd,No,Unf,Ex,Gd,No Fireplace,RFn,155000
6,7.329093736246592,440.0,756.0,Somerst,MetalSd,MetalSd,Gd,PConc,Gd,No,GLQ,Ex,Gd,No Fireplace,Unf,166000
4,7.591357046698551,576.0,1122.0,SWISU,WdShing,Plywood,TA,BrkTil,TA,No,BLQ,TA,Gd,TA,Unf,135000
7,7.931644021454311,564.0,1392.0,NWAmes,Plywood,Plywood,TA,CBlock,Gd,No,BLQ,TA,Gd,TA,RFn,250000
4,6.9957661563048505,0.0,546.0,MeadowV,CemntBd,CmentBd,TA,CBlock,TA,No,GLQ,Ex,TA,No Fireplace,No Garage,76000
6,7.362010551259734,400.0,216.0,NAmes,Wd Sdng,Wd Sdng,TA,CBlock,TA,No,Unf,TA,Gd,Gd,Unf,155000
6,7.20934025660291,299.0,663.0,Sawyer,HdBoard,HdBoard,TA,CBlock,TA,No,ALQ,TA,TA,No Fireplace,Fin,158000
7,7.090076835776092,480.0,600.0,Somerst,MetalSd,MetalSd,Gd,PConc,Gd,No,GLQ,Ex,Gd,No Fireplace,RFn,149500
5,6.841615476477592,240.0,936.0,NAmes,MetalSd,MetalSd,TA,CBlock,TA,No,BLQ,TA,TA,No Fireplace,Unf,121000
6,6.946975992135418,293.0,1040.0,NAmes,Wd Sdng,Wd Sdng,TA,CBlock,TA,No,Rec,TA,TA,No Fireplace,Fin,136000
6,7.400009517162692,386.0,916.0,Gilbert,HdBoard,HdBoard,TA,PConc,Gd,No,Rec,Gd,TA,TA,Fin,173000
8,7.727535110475448,671.0,1152.0,NoRidge,VinylSd,VinylSd,Gd,PConc,Gd,No,GLQ,Ex,Gd,Gd,Fin,290000
8,7.867105500316739,550.0,1184.0,Somerst,CemntBd,CmentBd,Gd,PConc,Gd,Av,GLQ,Ex,Ex,Gd,Fin,303477
7,7.301822342137932,690.0,1420.0,ClearCr,Wd Sdng,Wd Sdng,Gd,CBlock,Gd,Gd,ALQ,Gd,TA,TA,RFn,270000
5,7.461640392208575,225.0,936.0,OldTown,WdShing,Wd Shng,Fa,BrkTil,TA,No,Rec,Gd,Ex,Gd,Unf,122250
5,7.231287004327616,350.0,1382.0,NAmes,AsbShng,AsbShng,TA,CBlock,TA,No,Rec,Gd,Gd,No Fireplace,Unf,153000
5,7.02108396428914,0.0,1120.0,Mitchel,VinylSd,VinylSd,TA,PConc,Gd,No,ALQ,Ex,TA,No Fireplace,No Garage,147000
7,7.001245622069476,216.0,531.0,Crawfor,Wd Sdng,Wd Sdng,TA,BrkTil,Gd,No,GLQ,TA,TA,Gd,Unf,148500
7,7.443078374348516,380.0,976.0,Edwards,VinylSd,VinylSd,Gd,PConc,Gd,No,Unf,Ex,Gd,No Fireplace,Unf,130000
9,7.496652438168283,843.0,1802.0,NridgHt,MetalSd,MetalSd,Ex,PConc,Ex,Gd,Unf,Ex,Ex,Gd,Fin,372000
7,7.317212408359839,440.0,1362.0,Blmngtn,VinylSd,VinylSd,Gd,PConc,Gd,Gd,GLQ,Ex,Gd,Gd,Fin,213490
7,7.318539548567902,572.0,1508.0,Edwards,VinylSd,VinylSd,Gd,PConc,Gd,Gd,GLQ,Ex,Gd,TA,RFn,308030
7,7.616775808698373,786.0,1840.0,Mitchel,MetalSd,MetalSd,Gd,PConc,Ex,Mn,GLQ,Ex,Gd,No Fireplace,Fin,300000
6,7.085064293952548,539.0,655.0,NAmes,BrkFace,BrkFace,TA,CBlock,TA,Mn,ALQ,Ex,TA,Fa,Fin,159500
7,7.443663683115591,380.0,970.0,Edwards,VinylSd,VinylSd,Gd,PConc,Gd,No,Unf,Ex,Gd,No Fireplace,Unf,137500
7,7.38770923908104,834.0,1616.0,Somerst,VinylSd,VinylSd,Gd,PConc,Gd,Av,Unf,Ex,Gd,No Fireplace,RFn,232000
6,6.643789733147672,440.0,768.0,IDOTRR,Stucco,Wd Shng,Gd,BrkTil,TA,No,Unf,TA,TA,No Fireplace,Unf,93850
5,6.77078942390898,322.0,872.0,Sawyer,BrkFace,Wd Sdng,TA,BrkTil,TA,No,Unf,Fa,Fa,Gd,Unf,105000
4,6.253828811575473,240.0,520.0,BrkSide,MetalSd,MetalSd,TA,BrkTil,TA,No,Unf,Fa,Fa,No Fireplace,Unf,68500
5,7.729295674310482,480.0,1105.0,NAmes,MetalSd,MetalSd,TA,CBlock,TA,No,Rec,TA,TA,No Fireplace,Unf,154300
5,7.378383712996714,0.0,936.0,IDOTRR,VinylSd,VinylSd,Gd,BrkTil,TA,No,Unf,Ex,TA,No Fireplace,No Garage,129850
5,7.116394144093465,480.0,616.0,OldTown,MetalSd,MetalSd,TA,BrkTil,TA,No,BLQ,Ex,TA,No Fireplace,Unf,114000
9,7.711548979629146,1166.0,2216.0,StoneBr,VinylSd,VinylSd,Ex,PConc,Ex,No,GLQ,Ex,Ex,Gd,Fin,501837
5,7.255591274253665,720.0,876.0,OldTown,Wd Sdng,Wd Sdng,TA,BrkTil,TA,Mn,Unf,Gd,TA,Gd,Unf,153900
4,6.761572768804055,576.0,864.0,NAmes,VinylSd,VinylSd,TA,CBlock,TA,No,ALQ,Gd,TA,No Fireplace,Unf,130000
6,7.080867896690782,392.0,1189.0,Mitchel,VinylSd,VinylSd,TA,PConc,Ex,No,GLQ,Ex,TA,No Fireplace,RFn,160500
9,7.418180822726788,575.0,1666.0,NridgHt,MetalSd,MetalSd,Ex,PConc,Ex,No,GLQ,Ex,Gd,Gd,RFn,310090
7,7.090076835776092,555.0,1176.0,SawyerW,VinylSd,VinylSd,Gd,PConc,Gd,No,GLQ,Ex,Gd,No Fireplace,RFn,184900
5,6.833031732786201,252.0,928.0,NAmes,Wd Sdng,Wd Sdng,TA,CBlock,Gd,No,Rec,TA,TA,No Fireplace,Unf,132000
5,7.197435354096591,502.0,1288.0,NWAmes,HdBoard,HdBoard,TA,CBlock,Gd,Mn,ALQ,TA,TA,Fa,RFn,163000
7,7.090076835776092,480.0,600.0,Somerst,MetalSd,MetalSd,Gd,PConc,Gd,Av,GLQ,Ex,Gd,No Fireplace,RFn,155000
6,7.263329617476836,516.0,1427.0,NWAmes,MetalSd,MetalSd,TA,CBlock,TA,Av,GLQ,Gd,TA,No Fireplace,RFn,183000
7,7.596894438144544,608.0,860.0,CollgCr,VinylSd,VinylSd,Gd,PConc,Gd,Mn,GLQ,Ex,Gd,TA,RFn,211000
7,7.339537695407674,495.0,754.0,SawyerW,VinylSd,VinylSd,Gd,PConc,Gd,No,LwQ,Ex,Gd,No Fireplace,RFn,184000
5,7.336285660021297,400.0,0.0,SawyerW,HdBoard,HdBoard,TA,Slab,No Basement,No,No Basement,TA,TA,No Fireplace,Unf,118858
5,7.049254841255837,484.0,1152.0,NAmes,Wd Sdng,HdBoard,TA,PConc,TA,Av,GLQ,TA,TA,Gd,RFn,180500
8,7.048386408721883,484.0,1141.0,Somerst,VinylSd,VinylSd,Gd,PConc,Gd,No,GLQ,Ex,Gd,No Fireplace,Fin,166000
6,7.037027614686276,480.0,1138.0,Sawyer,Wd Sdng,Wd Sdng,TA,CBlock,TA,Av,BLQ,Ex,TA,TA,RFn,148000
5,6.97914527506881,396.0,894.0,NAmes,Wd Sdng,Wd Sdng,TA,CBlock,TA,No,Rec,Gd,Gd,Gd,Unf,124000
9,7.353081920515432,556.0,1561.0,NridgHt,MetalSd,MetalSd,Ex,PConc,Ex,No,GLQ,Ex,Ex,Gd,Fin,277500
8,7.910590612256477,725.0,1342.0,NoRidge,VinylSd,VinylSd,Gd,PConc,Gd,No,ALQ,Ex,Gd,Ex,RFn,350000
9,7.541152455136308,670.0,1884.0,StoneBr,VinylSd,VinylSd,Ex,PConc,Ex,Gd,GLQ,Ex,Ex,Gd,Fin,387000
4,6.405228458030842,0.0,528.0,Edwards,Wd Sdng,Wd Sdng,TA,BrkTil,TA,Mn,ALQ,Ex,TA,No Fireplace,No Garage,86000
8,7.421177528595393,550.0,1426.0,Veenker,VinylSd,VinylSd,Ex,CBlock,Gd,Mn,GLQ,Ex,Ex,Gd,RFn,290000
3,6.680854678790215,0.0,245.0,IDOTRR,AsbShng,AsbShng,TA,CBlock,Fa,No,Unf,TA,TA,No Fireplace,No Garage,44000
6,7.581209826196346,560.0,804.0,Mitchel,VinylSd,VinylSd,TA,PConc,Ex,No,ALQ,Ex,Gd,TA,Fin,215000
5,7.084226422097916,501.0,1153.0,NWAmes,Plywood,Plywood,TA,CBlock,Gd,No,GLQ,Ex,TA,No Fireplace,Fin,146500
7,7.231287004327616,490.0,673.0,Somerst,MetalSd,MetalSd,Gd,PConc,Gd,No,GLQ,Ex,Gd,No Fireplace,Unf,165000
6,7.834392302910435,216.0,714.0,OldTown,Stucco,Stucco,TA,BrkTil,TA,No,Rec,TA,Gd,Gd,Unf,136000
6,7.237059026124737,550.0,1705.0,NAmes,Wd Sdng,Wd Sdng,TA,CBlock,Gd,Gd,ALQ,Ex,Ex,Gd,Unf,252000
7,7.3938782901077555,474.0,764.0,NridgHt,VinylSd,Wd Shng,Gd,PConc,Gd,No,Unf,Ex,Gd,No Fireplace,RFn,175500
5,7.351158226430694,400.0,690.0,OldTown,Wd Sdng,Wd Sdng,TA,BrkTil,TA,No,ALQ,TA,TA,Gd,Unf,150000
5,7.259819610363186,286.0,978.0,NAmes,Wd Sdng,Wd Sdng,TA,CBlock,TA,No,Unf,TA,TA,TA,RFn,139900
5,7.360739903058278,360.0,1078.0,BrkSide,MetalSd,MetalSd,TA,PConc,TA,No,Unf,TA,TA,Gd,Unf,162900
6,7.017506142941256,440.0,1116.0,NAmes,Wd Sdng,Wd Sdng,TA,CBlock,TA,No,Unf,TA,TA,No Fireplace,Unf,160000
2,6.492239835020471,0.0,0.0,Sawyer,Wd Sdng,Wd Sdng,TA,Slab,No Basement,No,No Basement,Fa,Fa,No Fireplace,No Garage,63900
6,7.442492722794441,479.0,1140.0,NWAmes,HdBoard,HdBoard,TA,PConc,TA,No,ALQ,Gd,TA,TA,Fin,184000
5,7.290292882446597,528.0,1466.0,Edwards,HdBoard,Plywood,TA,CBlock,TA,No,BLQ,TA,Fa,Gd,Fin,149900
9,7.401231264413015,495.0,1614.0,Somerst,MetalSd,MetalSd,Gd,PConc,Gd,Av,GLQ,Ex,Ex,TA,Fin,300000
5,7.450660796211539,626.0,988.0,ClearCr,Plywood,Plywood,TA,CBlock,TA,Mn,Rec,Gd,TA,TA,Unf,145000
6,7.475339236566737,470.0,928.0,CollgCr,VinylSd,VinylSd,TA,PConc,Gd,No,GLQ,Ex,Gd,No Fireplace,RFn,231500
5,6.903747257584598,0.0,996.0,Edwards,WdShing,Wd Shng,TA,CBlock,TA,No,BLQ,Ex,TA,Gd,No Garage,108000
5,7.091742115095153,304.0,1202.0,NAmes,BrkFace,BrkFace,TA,CBlock,TA,No,Rec,TA,TA,No Fireplace,RFn,120000
5,6.895682697747868,572.0,988.0,Sawyer,Wd Sdng,Wd Sdng,TA,CBlock,TA,No,Rec,TA,TA,No Fireplace,Unf,128500
5,6.93537044601511,360.0,1008.0,OldTown,WdShing,Wd Shng,TA,CBlock,TA,No,Unf,Gd,TA,Gd,Unf,115000
5,7.157735484249907,240.0,720.0,OldTown,AsbShng,AsbShng,TA,CBlock,TA,No,LwQ,TA,TA,No Fireplace,Unf,110000
9,7.987524479848767,864.0,994.0,Veenker,Wd Sdng,Wd Sdng,Gd,CBlock,Gd,No,GLQ,TA,Gd,Gd,RFn,150000
8,7.254177846456518,403.0,707.0,Gilbert,VinylSd,VinylSd,Gd,PConc,Ex,Av,Unf,Ex,Gd,Gd,Fin,178000
7,7.383368146992383,579.0,637.0,Crawfor,Wd Sdng,Wd Sdng,TA,BrkTil,TA,No,Unf,Ex,Gd,Gd,Unf,199500
6,7.329749689041512,400.0,813.0,Gilbert,VinylSd,VinylSd,TA,PConc,TA,No,GLQ,Ex,TA,TA,Fin,183500
5,7.412160334945205,288.0,624.0,IDOTRR,HdBoard,Plywood,Fa,CBlock,Gd,Mn,Rec,Ex,TA,Po,Unf,126000
7,6.961296045910167,440.0,1055.0,NPkVill,Plywood,Brk Cmn,TA,CBlock,Gd,No,ALQ,Fa,TA,No Fireplace,Unf,148500
5,7.20934025660291,720.0,676.0,OldTown,VinylSd,VinylSd,TA,BrkTil,TA,No,Unf,Ex,Gd,No Fireplace,Unf,149000
6,7.283448228756631,440.0,855.0,NPkVill,Plywood,Brk Cmn,TA,CBlock,Gd,No,ALQ,TA,TA,TA,Unf,137900
8,7.449498005382849,473.0,1719.0,Veenker,BrkFace,BrkFace,Gd,PConc,Gd,Gd,GLQ,Ex,Gd,Gd,Fin,324000
5,6.761572768804055,0.0,864.0,Edwards,Stucco,Stucco,TA,CBlock,TA,No,Rec,TA,TA,No Fireplace,No Garage,98000
6,6.894670039433482,264.0,483.0,BrDale,HdBoard,HdBoard,TA,CBlock,TA,No,LwQ,TA,TA,No Fireplace,Unf,103400
5,6.927557906278317,0.0,780.0,Sawyer,VinylSd,VinylSd,TA,CBlock,TA,No,Unf,Gd,TA,No Fireplace,No Garage,94000
8,7.348587530927593,627.0,1554.0,NridgHt,VinylSd,VinylSd,Gd,PConc,Gd,Mn,GLQ,Ex,Gd,Gd,RFn,209500
10,8.128585200374497,758.0,1528.0,StoneBr,CemntBd,CmentBd,Ex,PConc,Ex,Gd,Unf,Ex,Ex,Ex,Fin,545224
6,7.352441100243583,0.0,780.0,OldTown,Wd Sdng,Wd Sdng,Gd,PConc,TA,No,Unf,Ex,Gd,No Fireplace,No Garage,159900
4,6.761572768804055,400.0,864.0,Gilbert,VinylSd,VinylSd,TA,CBlock,TA,No,LwQ,Ex,TA,No Fireplace,Unf,141000
6,7.543802867501509,431.0,982.0,Gilbert,VinylSd,VinylSd,TA,PConc,Gd,No,ALQ,Ex,TA,TA,Fin,215000
5,6.946975992135418,260.0,1040.0,Sawyer,HdBoard,HdBoard,TA,CBlock,TA,No,ALQ,Ex,TA,No Fireplace,Unf,127000
5,7.066466970136958,366.0,1172.0,Edwards,WdShing,Wd Shng,TA,CBlock,TA,Av,BLQ,TA,TA,No Fireplace,Fin,128000
8,7.257002707092073,852.0,1642.0,Somerst,CemntBd,CmentBd,Gd,PConc,Ex,No,GLQ,Ex,Gd,Gd,RFn,267916
6,7.220373836723949,560.0,884.0,BrkSide,Wd Sdng,Wd Sdng,TA,BrkTil,TA,No,LwQ,TA,TA,Gd,Unf,127500
7,7.561121589530238,672.0,0.0,Edwards,HdBoard,HdBoard,Gd,Slab,No Basement,No,No Basement,Ex,Gd,Ex,RFn,198500
6,7.259819610363186,576.0,1422.0,NWAmes,MetalSd,MetalSd,TA,CBlock,Gd,No,GLQ,TA,Gd,TA,Fin,175500
7,7.518607216815252,486.0,985.0,CollgCr,VinylSd,VinylSd,Gd,PConc,Gd,No,GLQ,Ex,Gd,TA,Fin,217500
4,7.581719640125308,572.0,888.0,OldTown,MetalSd,MetalSd,TA,CBlock,TA,No,Unf,Ex,TA,TA,Unf,149500
5,7.02108396428914,656.0,864.0,NAmes,HdBoard,HdBoard,Gd,PConc,TA,No,BLQ,Ex,TA,TA,RFn,148800
9,7.961370201719511,716.0,1992.0,StoneBr,CemntBd,CmentBd,Gd,PConc,Ex,Av,GLQ,Ex,Ex,Gd,Fin,556581
6,7.298445101508147,442.0,1478.0,NAmes,BrkFace,BrkFace,TA,CBlock,TA,No,ALQ,Gd,TA,Gd,RFn,156500
7,7.598399329323964,610.0,930.0,CollgCr,VinylSd,VinylSd,Gd,PConc,Gd,Av,GLQ,Ex,Gd,TA,RFn,237000
5,6.815639990074331,297.0,912.0,NAmes,MetalSd,MetalSd,TA,CBlock,TA,No,BLQ,Fa,TA,No Fireplace,Fin,120000
6,7.189922170745808,388.0,1326.0,Gilbert,VinylSd,VinylSd,TA,PConc,Gd,Av,GLQ,Ex,Gd,No Fireplace,Fin,203000
8,7.093404625868766,461.0,1191.0,StoneBr,HdBoard,HdBoard,TA,CBlock,Gd,No,Unf,TA,TA,No Fireplace,RFn,130000
6,7.384610383176974,442.0,780.0,NAmes,HdBoard,HdBoard,TA,CBlock,TA,Gd,GLQ,TA,TA,No Fireplace,RFn,167900
4,6.866933284461882,576.0,960.0,BrkSide,HdBoard,HdBoard,TA,CBlock,TA,Av,ALQ,TA,TA,No Fireplace,Unf,129000
5,7.119635638017636,447.0,1070.0,NAmes,HdBoard,HdBoard,TA,CBlock,TA,No,BLQ,TA,Gd,Fa,Unf,134450
5,7.255591274253665,576.0,816.0,Sawyer,Wd Sdng,Wd Sdng,TA,BrkTil,TA,No,Unf,Ex,Gd,No Fireplace,Unf,112000
7,7.535296702444088,619.0,929.0,SawyerW,HdBoard,HdBoard,Gd,PConc,Gd,No,GLQ,Ex,Gd,TA,RFn,207000
5,7.662937850461535,0.0,1040.0,OldTown,MetalSd,MetalSd,TA,BrkTil,TA,No,Unf,TA,TA,No Fireplace,No Garage,62500
7,7.3938782901077555,474.0,764.0,NridgHt,VinylSd,Wd Shng,Gd,PConc,Gd,No,GLQ,Ex,Gd,No Fireplace,RFn,154000
5,6.704414354964107,308.0,816.0,NAmes,WdShing,Wd Shng,TA,CBlock,TA,No,GLQ,TA,TA,No Fireplace,Unf,129900
5,7.013915474810528,336.0,536.0,MeadowV,CemntBd,CmentBd,TA,CBlock,Gd,No,Rec,TA,TA,No Fireplace,Unf,85000
7,7.01301578963963,288.0,572.0,OldTown,Wd Sdng,Wd Sdng,TA,PConc,TA,No,Unf,TA,TA,Gd,Unf,116900
6,7.273092595999522,440.0,855.0,NPkVill,Plywood,Brk Cmn,TA,CBlock,TA,No,ALQ,TA,TA,TA,Unf,148500
4,6.828712071641684,280.0,672.0,Edwards,MetalSd,MetalSd,TA,BrkTil,Gd,No,BLQ,Fa,Fa,No Fireplace,Unf,80000
5,7.026426808699636,506.0,1060.0,Sawyer,VinylSd,VinylSd,TA,PConc,Gd,Av,LwQ,TA,TA,No Fireplace,Unf,152000
5,6.899723107284872,319.0,381.0,Edwards,VinylSd,VinylSd,TA,CBlock,Fa,No,Unf,Ex,TA,No Fireplace,Unf,155891
6,7.226936018493289,576.0,768.0,BrkSide,Wd Sdng,Wd Shng,TA,PConc,TA,No,Unf,Ex,Gd,No Fireplace,Unf,165000
7,7.1049654482698426,676.0,1218.0,Somerst,VinylSd,VinylSd,Gd,PConc,Gd,No,Unf,Ex,Gd,No Fireplace,RFn,204500
5,7.404887575616125,312.0,728.0,NAmes,MetalSd,MetalSd,TA,CBlock,TA,No,LwQ,Ex,Gd,Gd,Unf,146500
7,7.378383712996714,478.0,1271.0,NWAmes,Plywood,Plywood,TA,CBlock,Gd,No,ALQ,TA,TA,TA,RFn,157000
7,7.822044008185619,342.0,1313.0,OldTown,Wd Sdng,Wd Shng,TA,BrkTil,TA,Mn,Unf,Gd,TA,Gd,Unf,184000
6,7.319202458767849,393.0,783.0,Gilbert,VinylSd,VinylSd,Gd,PConc,Gd,No,GLQ,Ex,Gd,Gd,Fin,183200
5,6.9957661563048505,288.0,1092.0,Sawyer,Wd Sdng,Wd Sdng,TA,CBlock,TA,No,LwQ,TA,TA,Po,Unf,139000
7,7.790696031174738,983.0,1311.0,NoRidge,Wd Sdng,ImStucc,Gd,PConc,Gd,Gd,GLQ,Ex,Gd,TA,RFn,341000
6,6.894670039433482,264.0,483.0,BrDale,HdBoard,HdBoard,TA,CBlock,TA,No,Rec,TA,TA,No Fireplace,Unf,96000
4,7.02197642307216,440.0,1121.0,Edwards,VinylSd,VinylSd,TA,PConc,Gd,No,Unf,Ex,TA,No Fireplace,RFn,140000
6,7.119635638017636,923.0,912.0,OldTown,MetalSd,MetalSd,TA,CBlock,TA,No,GLQ,TA,TA,No Fireplace,Unf,149700
5,6.97914527506881,495.0,1056.0,NWAmes,HdBoard,HdBoard,TA,CBlock,Gd,No,ALQ,Ex,TA,No Fireplace,RFn,153500
1,6.597145701886651,487.0,0.0,IDOTRR,AsbShng,VinylSd,Fa,Slab,No Basement,No,No Basement,Po,Fa,No Fireplace,Unf,13100
